battery_level,altitude,velocity,gps_signal,obstacle_distance,decision,timestamp
15.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 16:58:34.508087
85.0,161.0,93.0,24,4.0,HOLD,2026-03-09 16:58:37.429928
84.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.703052
74.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.731553
29.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.763603
60.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.789926
48.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.813759
41.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.839941
33.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.865977
26.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.891706
23.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.917863
22.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:55.950102
19.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:55.980730
15.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.012823
14.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.041356
13.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.080638
12.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.112176
11.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.149468
10.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.187685
8.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.230211
6.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.271065
5.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.316988
6.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.360439
7.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.403450
8.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.448957
9.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.487551
10.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.530066
11.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.571395
13.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.617685
16.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.666675
17.0,161.0,93.0,24,4.0,RETURN_HOME,2026-03-09 18:05:56.716217
24.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:56.766343
27.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:56.816275
28.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:56.864206
29.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:56.911976
30.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:56.957966
29.0,161.0,93.0,24,4.0,HOLD,2026-03-09 18:05:57.092314
29.0,169.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.093475
29.0,174.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.136730
29.0,191.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.180541
29.0,222.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.229806
29.0,268.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.271160
29.0,324.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.323716
29.0,349.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.378354
29.0,372.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.427282
29.0,394.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.476517
29.0,398.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.521160
29.0,395.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.562887
29.0,390.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.619257
29.0,387.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.669154
29.0,378.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.719260
29.0,348.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.769917
29.0,278.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.826677
29.0,189.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.886488
29.0,157.0,93.0,24,4.0,HOLD,2026-03-09 18:05:58.949027
29.0,158.0,93.0,24,4.0,HOLD,2026-03-09 18:05:59.022810
29.0,165.0,93.0,24,4.0,HOLD,2026-03-09 18:05:59.080600
29.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:05:59.129708
30.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.288562
32.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.310740
36.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.332855
40.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.352170
45.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.371742
47.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.390819
51.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.415959
55.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.438431
59.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.457138
62.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.475343
64.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.495288
66.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.514743
68.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.536069
69.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.555196
71.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.575669
72.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.595396
73.0,172.0,93.0,24,4.0,HOLD,2026-03-09 18:06:03.614149
73.0,170.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.561123
73.0,181.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.592994
73.0,194.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.617869
73.0,215.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.641495
73.0,237.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.665433
73.0,264.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.692001
73.0,289.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.718952
73.0,340.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.745070
73.0,356.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.770200
73.0,311.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.794497
73.0,371.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.816756
73.0,382.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.840956
73.0,391.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.863806
73.0,397.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.887756
73.0,402.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.914227
73.0,406.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.936412
73.0,416.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.957403
73.0,422.0,93.0,24,4.0,HOLD,2026-03-09 18:06:09.983936
73.0,412.0,93.0,24,4.0,HOLD,2026-03-09 18:06:10.008447
73.0,427.0,93.0,24,4.0,HOLD,2026-03-09 18:06:10.032310
73.0,433.0,93.0,24,4.0,HOLD,2026-03-09 18:06:10.055351
73.0,435.0,93.0,24,4.0,HOLD,2026-03-09 18:06:10.078557
73.0,436.0,93.0,24,4.0,HOLD,2026-03-09 18:06:10.099956
73.0,436.0,93.0,27,4.0,HOLD,2026-03-09 18:06:13.283462
73.0,436.0,93.0,30,4.0,HOLD,2026-03-09 18:06:13.515792
73.0,436.0,93.0,36,4.0,HOLD,2026-03-09 18:06:13.534466
73.0,436.0,93.0,42,4.0,HOLD,2026-03-09 18:06:13.554596
73.0,436.0,93.0,46,4.0,HOLD,2026-03-09 18:06:13.580193
73.0,436.0,93.0,52,4.0,HOLD,2026-03-09 18:06:13.604263
73.0,436.0,93.0,58,4.0,HOLD,2026-03-09 18:06:13.625625
73.0,436.0,93.0,64,4.0,HOLD,2026-03-09 18:06:13.646137
73.0,436.0,93.0,66,4.0,HOLD,2026-03-09 18:06:13.665710
73.0,436.0,93.0,68,4.0,HOLD,2026-03-09 18:06:13.687614
73.0,436.0,93.0,70,4.0,HOLD,2026-03-09 18:06:13.709244
73.0,436.0,93.0,71,4.0,HOLD,2026-03-09 18:06:13.729961
73.0,436.0,93.0,72,4.0,HOLD,2026-03-09 18:06:13.747294
73.0,436.0,93.0,73,4.0,HOLD,2026-03-09 18:06:13.767086
73.0,436.0,93.0,74,4.0,HOLD,2026-03-09 18:06:13.788921
73.0,436.0,93.0,75,4.0,HOLD,2026-03-09 18:06:13.810816
73.0,436.0,93.0,77,4.0,HOLD,2026-03-09 18:06:13.833313
73.0,436.0,93.0,78,4.0,HOLD,2026-03-09 18:06:13.855992
73.0,436.0,93.0,80,4.0,HOLD,2026-03-09 18:06:13.877545
73.0,436.0,93.0,82,4.0,HOLD,2026-03-09 18:06:13.896301
73.0,436.0,93.0,85,4.0,HOLD,2026-03-09 18:06:13.914574
73.0,436.0,93.0,88,4.0,HOLD,2026-03-09 18:06:13.934674
73.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:13.958596
72.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.026513
73.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.045527
74.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.064564
75.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.094588
76.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.112994
77.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.143496
78.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:16.194337
8.0,436.0,93.0,89,4.0,RETURN_HOME,2026-03-09 18:06:26.464606
83.0,436.0,93.0,89,4.0,HOLD,2026-03-09 18:06:32.729787
83.0,436.0,93.0,56,4.0,HOLD,2026-03-09 18:06:35.235480
83.0,436.0,50.0,56,4.0,HOLD,2026-03-09 18:06:37.139294
83.0,209.0,50.0,56,4.0,HOLD,2026-03-09 18:06:40.899786
34.0,209.0,50.0,56,4.0,HOLD,2026-03-09 18:06:42.065914
